Disease,Symptoms,Medicine,Brand Name,Dosage,Price (INR)
Diabetes,"Frequent urination, excessive thirst, fatigue",Metformin,Glycomet,500mg,50
Diabetes,"Frequent urination, excessive thirst, fatigue",Insulin,Humulin,100IU/ml,300
Hypertension,"Headache, dizziness, blurred vision",Amlodipine,Amlovas,5mg,30
Hypertension,"Headache, dizziness, blurred vision",Lisinopril,Zestril,10mg,40
Asthma,"Shortness of breath, wheezing, chest tightness",Salbutamol,Asthalin,2mg,20
Asthma,"Shortness of breath, wheezing, chest tightness",Montelukast,Montair,10mg,100
Malaria,"Fever, chills, sweating, nausea",Artemether-Lumefantrine,Coartem,20mg/120mg,200
Malaria,"Fever, chills, sweating, nausea",Chloroquine,Resochin,250mg,150
Tuberculosis,"Cough, weight loss, night sweats, fever",Rifampin,Rifadin,450mg,250
Tuberculosis,"Cough, weight loss, night sweats, fever",Isoniazid,Isonex,300mg,100
Dengue,"High fever, severe headache, joint pain",Paracetamol,Crocin,500mg,15
Dengue,"High fever, severe headache, joint pain",IV fluids,Normal Saline,500ml,50
Typhoid,"Prolonged fever, abdominal pain, loss of appetite",Ceftriaxone,Cefaxone,1g,200
Typhoid,"Prolonged fever, abdominal pain, loss of appetite",Azithromycin,Azee,500mg,100
COVID-19,"Fever, cough, loss of taste and smell",Paracetamol,Crocin,500mg,15
COVID-19,"Fever, cough, loss of taste and smell",Remdesivir,Covifor,100mg,5000
Influenza,"Fever, chills, muscle aches, sore throat",Oseltamivir,Tamiflu,75mg,300
Influenza,"Fever, chills, muscle aches, sore throat",Zanamivir,Relenza,5mg,400
Migraine,"Severe headache, nausea, sensitivity to light",Sumatriptan,Suminat,50mg,200
Migraine,"Severe headache, nausea, sensitivity to light",Ibuprofen,Brufen,400mg,30
Arthritis,"Joint pain, stiffness, swelling",Ibuprofen,Brufen,400mg,30
Arthritis,"Joint pain, stiffness, swelling",Naproxen,Naprosyn,500mg,50
Pneumonia,"Cough, chest pain, difficulty breathing",Amoxicillin,Amoxil,500mg,100
Pneumonia,"Cough, chest pain, difficulty breathing",Azithromycin,Azee,500mg,100
Common Cold,"Runny nose, sore throat, sneezing",Paracetamol,Crocin,500mg,15
Common Cold,"Runny nose, sore throat, sneezing",Antihistamines,Cetirizine,10mg,20
Anemia,"Fatigue, pale skin, dizziness",Iron supplements,Feronia,100mg,50
Anemia,"Fatigue, pale skin, dizziness",Vitamin B12,Cobal,1000mcg,100
Heart Disease,"Chest pain, shortness of breath, fatigue",Aspirin,Ecosprin,75mg,10
Heart Disease,"Chest pain, shortness of breath, fatigue",Atorvastatin,Atorva,10mg,50
Kidney Disease,"Swelling, fatigue, high blood pressure",ACE inhibitors,Enalapril,5mg,30
Kidney Disease,"Swelling, fatigue, high blood pressure",Diuretics,Lasix,40mg,20
Hepatitis B,"Jaundice, nausea, dark urine",Tenofovir,Viread,300mg,500
Hepatitis B,"Jaundice, nausea, dark urine",Entecavir,Baraclude,0.5mg,600
Gastritis,"Stomach pain, bloating, nausea",Omeprazole,Omez,20mg,30
Gastritis,"Stomach pain, bloating, nausea",Ranitidine,Zinetac,150mg,20
Peptic Ulcer,"Burning stomach pain, bloating, nausea",Pantoprazole,Pantocid,40mg,50
Peptic Ulcer,"Burning stomach pain, bloating, nausea",Clarithromycin,Claribid,500mg,100
Epilepsy,"Seizures, confusion, temporary unconsciousness",Carbamazepine,Tegretol,200mg,150
Epilepsy,"Seizures, confusion, temporary unconsciousness",Valproic Acid,Encorate,500mg,200
Alzheimer's,"Memory loss, confusion, difficulty in thinking",Donepezil,Aricept,5mg,300
Alzheimer's,"Memory loss, confusion, difficulty in thinking",Memantine,Mentadem,10mg,400
Parkinson's,"Tremors, slow movement, balance issues",Levodopa,Sinemet,100mg,500
Parkinson's,"Tremors, slow movement, balance issues",Carbidopa,Sinemet,25mg,500
Obesity,"Excess body weight, fatigue, high cholesterol",Orlistat,Orlistat,120mg,300
Obesity,"Excess body weight, fatigue, high cholesterol",Metformin,Glycomet,500mg,50
Hyperthyroidism,"Weight loss, rapid heartbeat, sweating",Methimazole,Thyrozol,5mg,50
Hyperthyroidism,"Weight loss, rapid heartbeat, sweating",Propylthiouracil,Propylthiouracil,50mg,100
Hypothyroidism,"Fatigue, weight gain, dry skin",Levothyroxine,Thyronorm,50mcg,50
Psoriasis,"Itchy, red, scaly skin patches",Topical corticosteroids,Betnovate,0.1%,100
Psoriasis,"Itchy, red, scaly skin patches",Methotrexate,Methotrexate,2.5mg,200
Eczema,"Itchy, dry, cracked skin",Moisturizers,Vaseline,100ml,150
Eczema,"Itchy, dry, cracked skin",Hydrocortisone,Cortisol,1%,50
Depression,"Persistent sadness, lack of energy, sleep issues",Sertraline,Zoloft,50mg,100
Depression,"Persistent sadness, lack of energy, sleep issues",Fluoxetine,Prozac,20mg,150
Anxiety,"Excessive worry, restlessness, rapid heartbeat",Alprazolam,Alprax,0.5mg,50
Anxiety,"Excessive worry, restlessness, rapid heartbeat",Diazepam,Calmpose,5mg,30
Schizophrenia,"Hallucinations, delusions, disorganized speech",Risperidone,Risperdal,2mg,100
Schizophrenia,"Hallucinations, delusions, disorganized speech",Olanzapine,Olanex,5mg,150
HIV/AIDS,"Fatigue, weight loss, frequent infections",Tenofovir,Viread,300mg,500
HIV/AIDS,"Fatigue, weight loss, frequent infections",Efavirenz,Efavirenz,600mg,500
Gonorrhea,"Painful urination, discharge, swelling",Ceftriaxone,Cefaxone,1g,200
Gonorrhea,"Painful urination, discharge, swelling",Azithromycin,Azee,500mg,100
Syphilis,"Sores, rash, fever",Penicillin G,Penicillin G,1MU,100
Chlamydia,"Painful urination, discharge, lower abdominal pain",Azithromycin,Azee,500mg,100
Chlamydia,"Painful urination, discharge, lower abdominal pain",Doxycycline,Doxy-1,100mg,50
Bronchitis,"Cough with mucus, fatigue, chest discomfort",Amoxicillin,Amoxil,500mg,100
Bronchitis,"Cough with mucus, fatigue, chest discomfort",Bronchodilators,Ventolin,100mcg,200
Sinusitis,"Facial pain, nasal congestion, headache",Nasal decongestants,Otrivin,0.1%,50
Sinusitis,"Facial pain, nasal congestion, headache",Antibiotics,Augmentin,625mg,200
Otitis Media,"Ear pain, hearing loss, fluid drainage",Amoxicillin,Amoxil,500mg,100
Otitis Media,"Ear pain, hearing loss, fluid drainage",Ibuprofen,Brufen,400mg,30
Conjunctivitis,"Red eyes, itching, discharge",Antibiotic eye drops,Tobramycin,0.3%,100
Conjunctivitis,"Red eyes, itching, discharge",Antihistamines,Cetirizine,10mg,20
Glaucoma,"Blurred vision, eye pain, nausea",Timolol,Timolol,0.5%,100
Glaucoma,"Blurred vision, eye pain, nausea",Latanoprost,Latanoprost,0.005%,200
Cataracts,"Cloudy vision, difficulty in night vision",Surgery,Cataract Surgery,,30000
Lyme Disease,"Fever, headache, fatigue, skin rash",Doxycycline,Doxy-1,100mg,50
Lyme Disease,"Fever, headache, fatigue, skin rash",Amoxicillin,Amoxil,500mg,
Hepatitis C,"Fatigue, jaundice, abdominal pain",Sofosbuvir,Sovaldi,400mg,1000
Hepatitis C,"Fatigue, jaundice, abdominal pain",Ribavirin,Ribavirin,200mg,
Osteoporosis,"Bone pain, fractures, loss of height",Alendronate,Fosamax,70mg,200
Osteoporosis,"Bone pain, fractures, loss of height",Calcium supplements,Caltrate,500mg,
Fibromyalgia,"Widespread pain, fatigue, sleep disturbances",Pregabalin,Lyrica,75mg,300
Fibromyalgia,"Widespread pain, fatigue, sleep disturbances",Duloxetine,Cymbalta,30mg,
Multiple Sclerosis,"Numbness, weakness, vision problems",Interferon beta,Avonex,30mcg,5000
Multiple Sclerosis,"Numbness, weakness, vision problems",Glatiramer acetate,Copaxone,20mg,
Gout,"Intense joint pain, swelling, redness",Allopurinol,Zyloprim,100mg,100
Gout,"Intense joint pain, swelling, redness",Colchicine,Colcrys,0.6mg,
Chronic Fatigue Syndrome,"Extreme fatigue, muscle pain, memory issues",Antidepressants,Amitriptyline,25mg,50
Chronic Fatigue Syndrome,"Extreme fatigue, muscle pain, memory issues",Sleep aids,Zolpidem,5mg,
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Antispasmodics,Dicyclomine,10mg,30
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Laxatives,Miralax,17g,
Lupus,"Joint pain, rash, fatigue",Hydroxychloroquine,Plaquenil,200mg,100
Lupus,"Joint pain, rash, fatigue",Prednisone,Deltasone,5mg,
Rheumatoid Arthritis,"Joint pain, swelling, stiffness",Methotrexate,Trexall,2.5mg,100
Rheumatoid Arthritis,"Joint pain, swelling, stiffness",Hydroxychloroquine,Plaquenil,200mg,
Shingles,"Painful rash, blisters, itching",Acyclovir,Zovirax,800mg,200
Shingles,"Painful rash, blisters, itching",Pain relievers,Ibuprofen,400mg,
Tetanus,"Muscle stiffness, spasms, lockjaw",Tetanus toxoid,TT Vaccine,0.5ml,50
Tetanus,"Muscle stiffness, spasms, lockjaw",Antibiotics,Penicillin,1MU,
Whooping Cough,"Severe cough, runny nose, fever",Antibiotics,Azithromycin,500mg,100
Whooping Cough,"Severe cough, runny nose, fever",Cough suppressants,Dextromethorphan,15mg,
Yellow Fever,"Fever, chills, headache, jaundice",Supportive care,YF-Vax,0.5ml,500
Yellow Fever,"Fever, chills, headache, jaundice",Vaccination,,,
Leukemia,"Fatigue, weight loss, frequent infections",Chemotherapy,Imatinib,400mg,5000
Leukemia,"Fatigue, weight loss, frequent infections",Targeted therapy,Rituximab,500mg,
Melanoma,"Unusual moles, skin changes, itching",Surgery,Keytruda,100mg,10000
Melanoma,"Unusual moles, skin changes, itching",Immunotherapy,Opdivo,40mg,
Prostate Cancer,"Urinary issues, pelvic pain, bone pain",Hormone therapy,Leuprolide,22.5mg,5000
Prostate Cancer,"Urinary issues, pelvic pain, bone pain",Chemotherapy,Docetaxel,75mg/m²,
Breast Cancer,"Lump in breast, nipple discharge, skin changes",Surgery,Tamoxifen,20mg,2000
Breast Cancer,"Lump in breast, nipple discharge, skin changes",Chemotherapy,Herceptin,440mg,
Ovarian Cancer,"Abdominal bloating, pelvic pain, weight loss",Surgery,Carboplatin,450mg,3000
Ovarian Cancer,"Abdominal bloating, pelvic pain, weight loss",Chemotherapy,Paclitaxel,175mg/m²,
Pancreatic Cancer,"Abdominal pain, jaundice, weight loss",Surgery,Gemcitabine,1000mg/m²,4000
Pancreatic Cancer,"Abdominal pain, jaundice, weight loss",Chemotherapy,Erlotinib,100mg,
Colorectal Cancer,"Blood in stool, abdominal pain, weight loss",Surgery,Capecitabine,1500mg/m²,3000
Colorectal Cancer,"Blood in stool, abdominal pain, weight loss",Chemotherapy,Oxaliplatin,130mg/m²,
Constipation,"Weight loss, Fatigue, Chills, Joint pain",Azithromycin,Claritine,1g,100
Constipation,"Weight loss, Fatigue, Chills, Joint pain",Paracetamol,Brufen,500mg,20
Flu,"Rash, Chest tightness, Headache, Shortness of breath",Amoxicillin,Flagyl,10mg,150
Flu,"Rash, Chest tightness, Headache, Shortness of breath",Omeprazole,Claritine,1g,100
Indigestion,"Sore throat, Fatigue, Itching, Chest tightness",Loratadine,Claritine,1g,30
Indigestion,"Sore throat, Fatigue, Itching, Chest tightness",Paracetamol,Crocin,200mg,100
Dengue,"Rash, Chills, Pain, Fever",Azithromycin,Brufen,200mg,20
Dengue,"Rash, Chills, Pain, Fever",Amoxicillin,Claritine,5mg,150
Cholera,"Chills, Itching, Pain, Headache",Metronidazole,Zinetac,1g,200
Cholera,"Chills, Itching, Pain, Headache",Ciprofloxacin,Crocin,5mg,150
Anxiety,"Vomiting, Sore throat, Fever, Headache",Azithromycin,Alerid,100mg,150
Anxiety,"Vomiting, Sore throat, Fever, Headache",Omeprazole,Omez,250mg,75
Acne,"Fever, Cough, Shortness of breath, Sore throat",Metronidazole,Alerid,5mg,75
Acne,"Fever, Cough, Shortness of breath, Sore throat",Paracetamol,Omez,100mg,30
Dengue,"Chest tightness, Pain, Joint pain, Fatigue",Omeprazole,Zinetac,200mg,50
Dengue,"Chest tightness, Pain, Joint pain, Fatigue",Loratadine,Ciplox,100mg,30
Chickenpox,"Sweating, Cough, Chills, Nausea",Metronidazole,Flagyl,100mg,200
Chickenpox,"Sweating, Cough, Chills, Nausea",Ranitidine,Omez,1g,20
Anxiety,"Fever, Chest tightness, Dizziness, Sweating",Cetirizine,Omez,250mg,20
Anxiety,"Fever, Chest tightness, Dizziness, Sweating",Ranitidine,Zinetac,100mg,200
Epilepsy,"Rash, Weight loss, Joint pain, Fever",Metronidazole,Crocin,200mg,20
Epilepsy,"Rash, Weight loss, Joint pain, Fever",Paracetamol,Zinetac,1g,100
Common Cold,"Dizziness, Nausea, Headache, Vomiting",Ibuprofen,Zinetac,10mg,200
Common Cold,"Dizziness, Nausea, Headache, Vomiting",Amoxicillin,Ciplox,1g,30
Cholera,"Sweating, Sore throat, Headache, Nausea",Omeprazole,Ciplox,500mg,150
Cholera,"Sweating, Sore throat, Headache, Nausea",Ranitidine,Claritine,100mg,30
Common Cold,"Joint pain, Itching, Fever, Cough",Cetirizine,Ciplox,200mg,200
Common Cold,"Joint pain, Itching, Fever, Cough",Omeprazole,Omez,250mg,30
Chickenpox,"Shortness of breath, Fever, Weight loss, Cough",Azithromycin,Claritine,5mg,20
Chickenpox,"Shortness of breath, Fever, Weight loss, Cough",Ciprofloxacin,Azithral,100mg,75
Constipation,"Chills, Pain, Shortness of breath, Cough",Paracetamol,Flagyl,200mg,200
Constipation,"Chills, Pain, Shortness of breath, Cough",Amoxicillin,Ciplox,5mg,75
Glaucoma,"Fever, Fatigue, Vomiting, Cough",Cetirizine,Brufen,100mg,50
Glaucoma,"Fever, Fatigue, Vomiting, Cough",Ranitidine,Azithral,10mg,30
Common Cold,"Rash, Dizziness, Headache, Fatigue",Ciprofloxacin,Crocin,100mg,150
Common Cold,"Rash, Dizziness, Headache, Fatigue",Paracetamol,Omez,1g,200
Allergy,"Rash, Fever, Chest tightness, Cough",Ranitidine,Azithral,500mg,100
Allergy,"Rash, Fever, Chest tightness, Cough",Azithromycin,Claritine,1g,75
Hepatitis,"Dizziness, Shortness of breath, Headache, Fatigue",Ibuprofen,Azithral,250mg,50
Hepatitis,"Dizziness, Shortness of breath, Headache, Fatigue",Cetirizine,Flagyl,10mg,200
Hepatitis,"Shortness of breath, Pain, Chills, Fever",Omeprazole,Alerid,1g,75
Hepatitis,"Shortness of breath, Pain, Chills, Fever",Amoxicillin,Crocin,500mg,100
Bronchitis,"Nausea, Dizziness, Chest tightness, Sweating",Metronidazole,Omez,500mg,20
Bronchitis,"Nausea, Dizziness, Chest tightness, Sweating",Omeprazole,Crocin,250mg,30
Epilepsy,"Joint pain, Sweating, Vomiting, Headache",Loratadine,Omez,100mg,100
Epilepsy,"Joint pain, Sweating, Vomiting, Headache",Cetirizine,Azithral,250mg,50
Ear Infection,"Fever, Nausea, Dizziness, Sore throat",Ranitidine,Claritine,250mg,100
Ear Infection,"Fever, Nausea, Dizziness, Sore throat",Omeprazole,Brufen,100mg,150
Chickenpox,"Shortness of breath, Dizziness, Sore throat, Vomiting",Ciprofloxacin,Zinetac,100mg,50
Chickenpox,"Shortness of breath, Dizziness, Sore throat, Vomiting",Paracetamol,Brufen,200mg,75
Gastritis,"Nausea, Rash, Dizziness, Shortness of breath",Ibuprofen,Brufen,200mg,75
Gastritis,"Nausea, Rash, Dizziness, Shortness of breath",Ciprofloxacin,Flagyl,1g,100
Epilepsy,"Weight loss, Sore throat, Pain, Dizziness",Ranitidine,Alerid,200mg,150
Epilepsy,"Weight loss, Sore throat, Pain, Dizziness",Loratadine,Crocin,100mg,50
Glaucoma,"Sore throat, Headache, Weight loss, Dizziness",Azithromycin,Claritine,250mg,100
Glaucoma,"Sore throat, Headache, Weight loss, Dizziness",Ranitidine,Omez,500mg,75
Alzheimer's,"Pain, Dizziness, Sweating, Sore throat",Metronidazole,Claritine,250mg,75
Alzheimer's,"Pain, Dizziness, Sweating, Sore throat",Paracetamol,Brufen,10mg,200
Acne,"Rash, Weight loss, Nausea, Headache",Metronidazole,Zinetac,250mg,30
Acne,"Rash, Weight loss, Nausea, Headache",Azithromycin,Claritine,200mg,20
HIV,"Rash, Cough, Chest tightness, Fever",Amoxicillin,Crocin,200mg,20
HIV,"Rash, Cough, Chest tightness, Fever",Ciprofloxacin,Omez,500mg,100
Hepatitis,"Weight loss, Pain, Rash, Sweating",Loratadine,Crocin,100mg,75
Hepatitis,"Weight loss, Pain, Rash, Sweating",Ciprofloxacin,Flagyl,5mg,50
Glaucoma,"Dizziness, Nausea, Chest tightness, Joint pain",Amoxicillin,Brufen,200mg,150
Glaucoma,"Dizziness, Nausea, Chest tightness, Joint pain",Ranitidine,Omez,1g,100
Indigestion,"Chills, Fatigue, Rash, Shortness of breath",Ciprofloxacin,Augmentin,500mg,75
Indigestion,"Chills, Fatigue, Rash, Shortness of breath",Metronidazole,Zinetac,10mg,50
Chickenpox,"Joint pain, Weight loss, Fever, Shortness of breath",Metronidazole,Azithral,200mg,100
Chickenpox,"Joint pain, Weight loss, Fever, Shortness of breath",Omeprazole,Zinetac,10mg,200
Cholera,"Shortness of breath, Headache, Rash, Chest tightness",Omeprazole,Alerid,1g,150
Cholera,"Shortness of breath, Headache, Rash, Chest tightness",Azithromycin,Flagyl,200mg,100
Back Pain,"Joint pain, Chills, Sweating, Itching",Loratadine,Flagyl,500mg,20
Back Pain,"Joint pain, Chills, Sweating, Itching",Cetirizine,Augmentin,10mg,200
Dengue,"Dizziness, Weight loss, Pain, Rash",Ibuprofen,Azithral,500mg,150
Dengue,"Dizziness, Weight loss, Pain, Rash",Ciprofloxacin,Flagyl,10mg,100
Common Cold,"Fatigue, Pain, Nausea, Cough",Ranitidine,Brufen,10mg,150
Common Cold,"Fatigue, Pain, Nausea, Cough",Paracetamol,Azithral,200mg,30
Cholera,"Rash, Cough, Sweating, Headache",Ciprofloxacin,Omez,200mg,150
Cholera,"Rash, Cough, Sweating, Headache",Loratadine,Flagyl,5mg,75
Hepatitis,"Fatigue, Cough, Shortness of breath, Chest tightness",Cetirizine,Azithral,1g,200
Hepatitis,"Fatigue, Cough, Shortness of breath, Chest tightness",Ciprofloxacin,Ciplox,5mg,30
Epilepsy,"Headache, Cough, Vomiting, Itching",Omeprazole,Augmentin,500mg,200
Epilepsy,"Headache, Cough, Vomiting, Itching",Loratadine,Claritine,5mg,75
Dengue,"Itching, Sweating, Cough, Nausea",Omeprazole,Zinetac,100mg,30
Dengue,"Itching, Sweating, Cough, Nausea",Cetirizine,Ciplox,5mg,150
Alzheimer's,"Itching, Vomiting, Rash, Shortness of breath",Omeprazole,Alerid,500mg,50
Alzheimer's,"Itching, Vomiting, Rash, Shortness of breath",Ranitidine,Crocin,10mg,200
Gastritis,"Sore throat, Shortness of breath, Pain, Cough",Cetirizine,Ciplox,100mg,30
Gastritis,"Sore throat, Shortness of breath, Pain, Cough",Omeprazole,Omez,200mg,100
Dengue,"Dizziness, Weight loss, Fatigue, Headache",Cetirizine,Flagyl,5mg,75
Dengue,"Dizziness, Weight loss, Fatigue, Headache",Paracetamol,Augmentin,100mg,20
Allergy,"Rash, Weight loss, Dizziness, Fever",Ranitidine,Zinetac,5mg,200
Allergy,"Rash, Weight loss, Dizziness, Fever",Metronidazole,Azithral,100mg,50
Common Cold,"Cough, Pain, Vomiting, Itching",Ranitidine,Ciplox,1g,30
Common Cold,"Cough, Pain, Vomiting, Itching",Ibuprofen,Flagyl,250mg,20
Chickenpox,"Shortness of breath, Pain, Chills, Weight loss",Ibuprofen,Azithral,250mg,30
Chickenpox,"Shortness of breath, Pain, Chills, Weight loss",Amoxicillin,Claritine,1g,100
Gastritis,"Cough, Sore throat, Pain, Nausea",Amoxicillin,Azithral,250mg,50
Gastritis,"Cough, Sore throat, Pain, Nausea",Azithromycin,Claritine,5mg,30
Acne,"Sweating, Fatigue, Dizziness, Itching",Paracetamol,Omez,10mg,150
Acne,"Sweating, Fatigue, Dizziness, Itching",Omeprazole,Flagyl,200mg,75
Anxiety,"Shortness of breath, Fever, Dizziness, Joint pain",Omeprazole,Ciplox,200mg,20
Anxiety,"Shortness of breath, Fever, Dizziness, Joint pain",Loratadine,Brufen,1g,100
Epilepsy,"Weight loss, Rash, Chest tightness, Sweating",Ibuprofen,Crocin,100mg,200
Epilepsy,"Weight loss, Rash, Chest tightness, Sweating",Metronidazole,Zinetac,200mg,100
Eye Infection,"Weight loss, Pain, Vomiting, Sweating",Loratadine,Brufen,10mg,75
Eye Infection,"Weight loss, Pain, Vomiting, Sweating",Azithromycin,Zinetac,200mg,150
Chickenpox,"Joint pain, Vomiting, Fever, Itching",Loratadine,Crocin,500mg,20
Chickenpox,"Joint pain, Vomiting, Fever, Itching",Ranitidine,Omez,250mg,50
COVID-19,"Joint pain, Weight loss, Sore throat, Dizziness",Ranitidine,Augmentin,500mg,150
COVID-19,"Joint pain, Weight loss, Sore throat, Dizziness",Omeprazole,Alerid,200mg,30
Insomnia,"Vomiting, Shortness of breath, Chills, Rash",Omeprazole,Ciplox,500mg,150
Insomnia,"Vomiting, Shortness of breath, Chills, Rash",Metronidazole,Flagyl,1g,50
Anxiety,"Headache, Sweating, Sore throat, Vomiting",Cetirizine,Omez,10mg,200
Anxiety,"Headache, Sweating, Sore throat, Vomiting",Ranitidine,Brufen,500mg,20
Hepatitis,"Chills, Dizziness, Headache, Joint pain",Paracetamol,Zinetac,10mg,20
Hepatitis,"Chills, Dizziness, Headache, Joint pain",Ibuprofen,Brufen,250mg,75
COVID-19,"Itching, Nausea, Fatigue, Sweating",Cetirizine,Ciplox,100mg,75
COVID-19,"Itching, Nausea, Fatigue, Sweating",Paracetamol,Claritine,10mg,200
Gastritis,"Itching, Headache, Vomiting, Nausea",Loratadine,Augmentin,200mg,50
Gastritis,"Itching, Headache, Vomiting, Nausea",Omeprazole,Brufen,100mg,150
Chickenpox,"Nausea, Fever, Sore throat, Chills",Ciprofloxacin,Zinetac,5mg,75
Chickenpox,"Nausea, Fever, Sore throat, Chills",Omeprazole,Flagyl,500mg,30
Gout,"Nausea, Headache, Shortness of breath, Chills",Amoxicillin,Zinetac,250mg,75
Gout,"Nausea, Headache, Shortness of breath, Chills",Paracetamol,Crocin,500mg,20
Glaucoma,"Itching, Joint pain, Shortness of breath, Fever",Azithromycin,Omez,200mg,50
Glaucoma,"Itching, Joint pain, Shortness of breath, Fever",Ranitidine,Claritine,1g,30
Cholera,"Sweating, Pain, Dizziness, Shortness of breath",Ciprofloxacin,Flagyl,1g,150
Cholera,"Sweating, Pain, Dizziness, Shortness of breath",Paracetamol,Ciplox,250mg,100
Flu,"Nausea, Pain, Itching, Weight loss",Amoxicillin,Claritine,5mg,100
Flu,"Nausea, Pain, Itching, Weight loss",Ciprofloxacin,Crocin,10mg,20
Cholera,"Sweating, Nausea, Dizziness, Headache",Ibuprofen,Flagyl,5mg,50
Cholera,"Sweating, Nausea, Dizziness, Headache",Cetirizine,Augmentin,100mg,150
Constipation,"Sore throat, Headache, Cough, Chills",Paracetamol,Alerid,250mg,30
Constipation,"Sore throat, Headache, Cough, Chills",Ranitidine,Brufen,200mg,150
Insomnia,"Cough, Dizziness, Weight loss, Pain",Ranitidine,Alerid,250mg,75
Insomnia,"Cough, Dizziness, Weight loss, Pain",Loratadine,Brufen,100mg,20
Acne,"Vomiting, Weight loss, Sweating, Pain",Amoxicillin,Zinetac,5mg,200
Acne,"Vomiting, Weight loss, Sweating, Pain",Metronidazole,Azithral,500mg,150
Gout,"Chills, Shortness of breath, Cough, Chest tightness",Azithromycin,Ciplox,10mg,50
Gout,"Chills, Shortness of breath, Cough, Chest tightness",Cetirizine,Zinetac,1g,75
Gout,"Shortness of breath, Fatigue, Nausea, Chest tightness",Cetirizine,Flagyl,100mg,75
Gout,"Shortness of breath, Fatigue, Nausea, Chest tightness",Azithromycin,Crocin,5mg,150
Gastritis,"Nausea, Chills, Pain, Headache",Amoxicillin,Zinetac,5mg,75
Gastritis,"Nausea, Chills, Pain, Headache",Ibuprofen,Claritine,200mg,20
Gout,"Pain, Sweating, Chest tightness, Rash",Ciprofloxacin,Alerid,500mg,50
Gout,"Pain, Sweating, Chest tightness, Rash",Ranitidine,Zinetac,1g,200
Common Cold,"Itching, Vomiting, Rash, Sweating",Paracetamol,Zinetac,10mg,50
Common Cold,"Itching, Vomiting, Rash, Sweating",Omeprazole,Claritine,100mg,20
Cholera,"Weight loss, Sweating, Shortness of breath, Cough",Ranitidine,Brufen,1g,30
Cholera,"Weight loss, Sweating, Shortness of breath, Cough",Azithromycin,Azithral,5mg,75
Ear Infection,"Chills, Itching, Weight loss, Joint pain",Loratadine,Flagyl,100mg,20
Ear Infection,"Chills, Itching, Weight loss, Joint pain",Cetirizine,Ciplox,1g,50
Chickenpox,"Itching, Sore throat, Chills, Fatigue",Ibuprofen,Ciplox,500mg,50
Chickenpox,"Itching, Sore throat, Chills, Fatigue",Azithromycin,Alerid,10mg,100
Diarrhea,"Headache, Weight loss, Cough, Nausea",Loratadine,Zinetac,500mg,200
Diarrhea,"Headache, Weight loss, Cough, Nausea",Paracetamol,Azithral,5mg,20
